model,vectorizer,accuracy,f1,roc_auc
Linear SVM,Count,0.9963251670378619,0.9961533978319151,0.9995345076696633
Logistic Regression,Count,0.9952115812917595,0.9949842528869707,0.9995566763380381
Linear SVM,TF-IDF,0.9930957683741648,0.9927839851024208,0.9994995646789291
Random Forest (improved),TF-IDF,0.9868596881959911,0.9863235975892444,0.9990582540911134
Logistic Regression,TF-IDF,0.9855233853006682,0.9848942598187311,0.9984538099391584
Naive Bayes,Count,0.9698218262806236,0.9686668979072726,0.9843865472169773
Random Forest,Count,0.9665924276169265,0.9645892351274787,0.994416055404572
Linear SVM,Word2Vec,0.9664810690423162,0.9650203370133643,0.9942138781431047
Logistic Regression,Word2Vec,0.9662583518930957,0.9647305319520428,0.9943790496341574
Random Forest,TF-IDF,0.9608017817371938,0.958323466729813,0.993724825389428
Naive Bayes,TF-IDF,0.9597995545657015,0.958338141950375,0.9914664047251274
Random Forest,Word2Vec,0.9569042316258352,0.9541632121283904,0.9910153021470205
Naive Bayes,Word2Vec,0.8821826280623608,0.8684406863964188,0.9631252036684276
